user_id,behavior_segment
00381c5b-527e-48d7-a78e-3406a3479620,High Value Users
00aaca82-902d-467b-8b52-47cc2dd04076,Growth Potential
00d8c689-f2a7-448b-9393-20a6adca0868,High Value Users
0429cb6a-75bd-4ff9-ba88-37483e5f3e33,High Value Users
051b167b-c30d-4155-a35a-6093f480ea88,Churn Risk
059bff93-8694-4827-9d24-de56ef000fc7,High Value Users
0dbb7dbb-5bee-4151-b5dc-d3f9b50b8ae2,High Value Users
0e7b2651-6e0b-406c-8734-67adb6189838,High Value Users
1037e026-6055-4c3c-8583-098e2a2bf832,Churn Risk
10f96bdb-f0eb-402a-bf68-d09638a5252a,Growth Potential
135b321e-2861-4195-830a-761f5893fec8,Churn Risk
1553a711-8d9d-437e-9d45-92ca2a31ac70,High Value Users
17a888ba-6992-4399-889c-8f3b53bf2b56,Churn Risk
195ae1fb-f831-427d-bb3e-2a54277d5811,Churn Risk
1996f70f-ad12-43c5-b576-842a6b9eafa5,High Value Users
1bf1deb4-62e9-417f-a96c-e8fcc94deba8,High Value Users
1d32b55c-4620-4831-ad0b-6872774f339b,High Value Users
1f9d4d16-3257-442f-8fb1-6d426d54607f,Churn Risk
20b116bd-8295-4845-929b-31ebc5e3559f,Churn Risk
252d0091-bae4-4c5b-9caf-17cec47c4485,Churn Risk
29540d3c-9d45-4575-ad9d-3b9c3b52b12e,High Value Users
2b303091-c374-481c-8b30-04070f6ae88a,High Value Users
2bb0316b-3161-46c5-9626-153266e61d7c,High Value Users
2cc5e8fb-5e56-4d32-8555-8e0a982eed4a,Churn Risk
2d9ca1db-1d0e-498f-ac32-72c9c860cf48,High Value Users
30cf79f2-0dc6-4b98-b677-d9937e163757,Growth Potential
330f2800-9930-4a2f-a38c-1906bbd1be63,Churn Risk
37315586-6747-4190-b80d-c267479e9383,Churn Risk
3814ded4-9cbd-41a7-b5a2-e2000c8660ba,Growth Potential
39c1074a-af14-4aa5-8860-208682855fcd,Churn Risk
4386cf87-24eb-4448-a2bb-265a39c9261a,Churn Risk
47bea422-c405-4600-922a-e576f4dc44c7,Churn Risk
49e52a0a-916b-4a26-9184-e84e3da946ce,Growth Potential
4ae0e3b1-b975-4aaa-8577-e24c0b776522,High Value Users
4d07c71d-bf62-45e6-ae2e-c1e7ef17d22c,Churn Risk
521cf522-51c0-4f32-9f3b-2f1dd3d80390,Growth Potential
52b55b5b-c36f-4502-be55-1a653487172c,High Value Users
55ff421e-0ac4-4fe0-a4de-0dc899acf8f7,Growth Potential
5807d473-a426-46c3-93b1-47cbb682fed9,Churn Risk
5d58e17b-ca00-4266-aef4-f0050fb236b0,Growth Potential
6013855f-f99f-46b7-a5d6-25fa6d1536cb,Churn Risk
60d82608-5860-4066-bff0-55d3e35793ee,Growth Potential
66ece46c-47f7-45e5-b601-0ca162a96a9f,Churn Risk
6ad5e87b-3885-4209-9141-08fc2b6574d6,Churn Risk
7183f84f-a077-4c8b-b838-fde35379afb7,High Value Users
722ea163-6e9a-4961-a1e8-68b152ff32ea,High Value Users
7c2a5c2f-6648-44f0-91fb-a84a9524f517,Churn Risk
7dc4e7af-fd86-4595-9469-09156e4c1144,Growth Potential
84b54c39-bfef-4ca8-88d7-96e66d278051,Churn Risk
871c7489-37e1-456f-a212-b34ed15e0383,Growth Potential
87eed6d8-591b-4806-9457-501bc90ef72f,Churn Risk
892bd7d9-620d-482b-b25f-5652aa9d65ab,Growth Potential
896a54c4-63ec-4091-8215-dc1529bc4e9a,High Value Users
8c9bc24a-93b4-4c15-969e-8c0fcf081067,Churn Risk
8f67212d-4849-4d0c-a322-7ff3f36f0d8e,Churn Risk
916f3458-fe95-4056-9a62-ff586522c10e,High Value Users
928097e3-8a32-481e-8b47-29e5b56ab285,Churn Risk
9555e2c4-6bab-44d0-aa72-a64cf3570002,Churn Risk
95d2ff24-108d-4d0d-af65-6195ab0dc827,Growth Potential
9727faf9-d887-4f43-9b64-46cf8ba70a39,Churn Risk
973acce4-d23c-4c23-9a1a-57c1e3b07416,Churn Risk
9cc0d41c-f9ac-4e02-80f4-e9f120c9a9b7,Growth Potential
a0357572-d01b-45cd-bf0a-434334671108,Churn Risk
a92f5e02-66b3-4f23-9b88-d8aa97a97c30,High Value Users
aa06a8cc-de35-42aa-abe6-ba26b7cae495,High Value Users
b3ceff26-2650-4715-a79a-60a0a65050ac,Churn Risk
b3ddb988-82e1-42f1-8eaa-7c4f4e71264e,Growth Potential
b70b565f-8283-4135-928a-8efee2006d33,High Value Users
bd8c2820-74f9-44d2-8dd7-8dcc31c0dcdf,Growth Potential
bef6f656-26c6-4143-b8e8-791988f849ac,Churn Risk
c36be2fb-ebe2-422b-8987-62935c041016,Churn Risk
c376f5f0-1be0-4e76-b753-f842c57f959a,Churn Risk
c4cf2b14-88db-4fee-9e87-6d0d25dae510,High Value Users
c5ddc6b4-aa4a-45dd-8655-011b64949ee4,Churn Risk
c9ba2a9b-504e-487a-a019-fa0665fe722d,Churn Risk
cbe8d2d0-206b-4b3b-a6a2-6790cc823d31,Churn Risk
cd204564-9328-44a8-a08d-62c14c4ad619,Churn Risk
cd3ee9af-0712-4f60-a695-78d822fdb92c,Churn Risk
cfba8cc5-8530-464e-8d6c-8a6dbd8b4252,Churn Risk
d0c682c7-8546-4f55-acf7-8f26985fc421,High Value Users
d230fab5-250a-4ea1-a532-6bdfdf11833c,Churn Risk
d50652d2-f851-4ad5-88ad-1f88c127e430,Churn Risk
d68c2b87-638a-49bf-96d4-a528e3cc6ceb,Churn Risk
e01a0fe4-dd44-4797-8b35-701c4bf37740,Churn Risk
e14eb847-a7cc-4072-976a-8a96fbbb25b2,High Value Users
e2fce059-39da-4ff9-9ccf-193707265043,High Value Users
e310a622-2556-4be8-a427-bbf9c731f63b,High Value Users
e5657620-d980-4a07-8561-f9b32981ac2e,Churn Risk
e7520282-69ad-460c-9ffb-c7b5ed00ea03,High Value Users
ea297f2b-98b9-4752-b484-39f63969d654,Growth Potential
ef5ec769-89d6-4f73-9ab6-0f127e934910,High Value Users
f17922be-3245-4dba-a513-813d4877108a,Churn Risk
f32df4b9-b298-43e9-9c91-ce79f5d05b86,Growth Potential
f8da8244-dffa-443b-82eb-8773bee81964,High Value Users
f95a949d-ecf6-4a65-814a-b500e2d48158,High Value Users
f996149b-6e0d-4ff9-b2e9-717a8d2d3bfd,Churn Risk
fa2b4edf-3efe-4f16-90fc-1d76bc7a9a34,High Value Users
fb00556e-d46d-4353-9bba-33f787638230,High Value Users
fee9867c-0397-4219-8d8d-7e4db742113b,Growth Potential
ff648fe2-81bb-4241-b775-d2b9651f81ac,Churn Risk
